name,ancestry
鏡(立て掛け式),4/72
鏡(壁掛け式),4/72
置物,4/72
風鈴,4/72
植物/観葉植物,4/72
その他,4/72
正月,4/73
成人式,4/73
バレンタインデー,4/73
ひな祭り,4/73
子どもの日,4/73
母の日,4/73
父の日,4/73
サマーギフト/お中元,4/73
夏/夏休み,4/73
ハロウィン,4/73
敬老の日,4/73
七五三,4/73
お歳暮,4/73
クリスマス,4/73
冬一般,4/73
その他,4/73
文学/小説,5/75
人文/社会,5/75
ノンフィクション/教養,5/75
地図/旅行ガイド,5/75
ビジネス/経済,5/75
健康/医学,5/75
コンピュータ/IT,5/75
趣味/スポーツ/実用,5/75
住まい/暮らし/子育て,5/75
アート/エンタメ,5/75
洋書,5/75
絵本,5/75
参考書,5/75
その他,5/75
全巻セット,5/76
少年漫画,5/76
少女漫画,5/76
青年漫画,5/76
女性漫画,5/76
同人誌,5/76
その他,5/76
アート/エンタメ/ホビー,5/77
ファッション,5/77
ニュース/総合,5/77
趣味/スポーツ,5/77
その他,5/77
邦楽,5/78
洋楽,5/78
アニメ,5/78
クラシック,5/78
K-POP/アジア,5/78
キッズ/ファミリー,5/78
その他,5/78
外国映画,5/79
日本映画,5/79
アニメ,5/79
TVドラマ,5/79
ミュージック,5/79
お笑い/バラエティ,5/79
スポーツ/フィットネス,5/79
キッズ/ファミリー,5/79
その他,5/79
邦楽,5/80
洋楽,5/80
その他,5/80
家庭用ゲーム本体,5/81
家庭用ゲームソフト,5/81
携帯用ゲーム本体,5/81
携帯用ゲームソフト,5/81
PCゲーム,5/81
その他,5/81
キャラクターグッズ,6/82
ぬいぐるみ,6/82
小物/アクセサリー,6/82
模型/プラモデル,6/82
ミニカー,6/82
トイラジコン,6/82
プラモデル,6/82
ホビーラジコン,6/82
鉄道模型,6/82
その他,6/82
アイドル,6/83
ミュージシャン,6/83
タレント/お笑い芸人,6/83
スポーツ選手,6/83
その他,6/83
ストラップ,6/84
キーホルダー,6/84
バッジ,6/84
カード,6/84
クリアファイル,6/84
ポスター,6/84
タオル,6/84
その他,6/84
遊戯王,6/85
マジック：ザ・ギャザリング,6/85
ポケモンカードゲーム,6/85
デュエルマスターズ,6/85
バトルスピリッツ,6/85
プリパラ,6/85
アイカツ,6/85
カードファイト!! ヴァンガード,6/85
ヴァイスシュヴァルツ,6/85
プロ野球オーナーズリーグ,6/85
ベースボールヒーローズ,6/85
ドラゴンボール,6/85
スリーブ,6/85
その他,6/85
コミック/アニメ,6/86
特撮,6/86
ゲームキャラクター,6/86
SF/ファンタジー/ホラー,6/86
アメコミ,6/86
スポーツ,6/86
ミリタリー,6/86
その他,6/86
エレキギター,6/87
アコースティックギター,6/87
ベース,6/87
エフェクター,6/87
アンプ,6/87
弦楽器,6/87
管楽器,6/87
鍵盤楽器,6/87
打楽器,6/87
和楽器,6/87
楽譜/スコア,6/87
レコーディング/PA機器,6/87
DJ機器,6/87
DTM/DAW,6/87
その他,6/87
武具,6/88
切手/官製はがき,6/88
貨幣/金貨/銀貨/記念硬貨,6/88
印刷物,6/88
ノベルティグッズ,6/88
その他,6/88
トイガン,6/89
個人装備,6/89
その他,6/89
陶芸,6/90
ガラス,6/90
漆芸,6/90
金属工芸,6/90
絵画/タペストリ,6/90
版画,6/90
彫刻/オブジェクト,6/90
書,6/90
写真,6/90
その他,6/90
画材,6/91
額縁,6/91
その他,6/91
トランプ/UNO,6/92
カルタ/百人一首,6/92
ダーツ,6/92
ビリヤード,6/92
麻雀,6/92
パズル/ジグソーパズル,6/92
囲碁/将棋,6/92
オセロ/チェス,6/92
人生ゲーム,6/92
野球/サッカーゲーム,6/92
スポーツ,6/92
三輪車/乗り物,6/92
ヨーヨー,6/92
模型製作用品,6/92
鉄道,6/92
航空機,6/92
アマチュア無線,6/92
パチンコ/パチスロ,6/92
その他,6/92
ファンデーション,7/93
化粧下地,7/93
コントロールカラー,7/93
BBクリーム,7/93
CCクリーム,7/93
コンシーラー,7/93
フェイスパウダー,7/93
トライアルセット/サンプル,7/93
その他,7/93
アイシャドウ,7/94
口紅,7/94
リップグロス,7/94
リップライナー,7/94
チーク,7/94
フェイスカラー,7/94
マスカラ,7/94
アイライナー,7/94
つけまつげ,7/94
アイブロウペンシル,7/94
パウダーアイブロウ,7/94
眉マスカラ,7/94
トライアルセット/サンプル,7/94
メイク道具/化粧小物,7/94
美顔用品/美顔ローラー,7/94
その他,7/94
ネイルカラー,7/95
カラージェル,7/95
ネイルベースコート/トップコート,7/95
ネイルアート用品,7/95
ネイルパーツ,7/95
ネイルチップ/付け爪,7/95
手入れ用具,7/95
除光液,7/95
その他,7/95
香水(女性用),7/96
香水(男性用),7/96
ユニセックス,7/96
ボディミスト,7/96
その他,7/96
化粧水/ローション,7/97
乳液/ミルク,7/97
美容液,7/97
フェイスクリーム,7/97
洗顔料,7/97
クレンジング/メイク落とし,7/97
パック/フェイスマスク,7/97
ジェル/ゲル,7/97
ブースター/導入液,7/97
アイケア,7/97
リップケア,7/97
トライアルセット/サンプル,7/97
洗顔グッズ,7/97
その他,7/97
シャンプー,7/98
トリートメント,7/98
コンディショナー,7/98
リンス,7/98
スタイリング剤,7/98
カラーリング剤,7/98
ブラシ,7/98
その他,7/98
オイル/クリーム,7/99
ハンドクリーム,7/99
ローション,7/99
日焼け止め/サンオイル,7/99
ボディソープ,7/99
入浴剤,7/99
制汗/デオドラント,7/99
フットケア,7/99
その他,7/99
口臭防止/エチケット用品,7/100
歯ブラシ,7/100
その他,7/100
エッセンシャルオイル,7/101
芳香器,7/101
お香/香炉,7/101
キャンドル,7/101
その他,7/101
ダイエット食品,7/102
エクササイズ用品,7/102
体重計,7/102
体脂肪計,7/102
その他,7/102
健康用品,7/103
看護/介護用品,7/103
救急/衛生用品,7/103
その他,7/103
スマートフォン本体,8/104
バッテリー/充電器,8/104
携帯電話本体,8/104
PHS本体,8/104
その他,8/104
Android用ケース,8/105
iPhone用ケース,8/105
カバー,8/105
イヤホンジャック,8/105
ストラップ,8/105
フィルム,8/105
自撮り棒,8/105
その他,8/105
タブレット,8/106
ノートPC,8/106
デスクトップ型PC,8/106
ディスプレイ,8/106
電子ブックリーダー,8/106
PC周辺機器,8/106
PCパーツ,8/106
その他,8/106
デジタルカメラ,8/107
ビデオカメラ,8/107
レンズ(単焦点),8/107
レンズ(ズーム),8/107
フィルムカメラ,8/107
防犯カメラ,8/107
その他,8/107
テレビ,8/108
プロジェクター,8/108
ブルーレイレコーダー,8/108
DVDレコーダー,8/108
ブルーレイプレーヤー,8/108
DVDプレーヤー,8/108
映像用ケーブル,8/108
その他,8/108
ポータブルプレーヤー,8/109
イヤフォン,8/109
ヘッドフォン,8/109
アンプ,8/109
スピーカー,8/109
ケーブル/シールド,8/109
ラジオ,8/109
その他,8/109
ヘアドライヤー,8/110
ヘアアイロン,8/110
美容機器,8/110
マッサージ機,8/110
電気シェーバー,8/110
電動歯ブラシ,8/110
その他,8/110
エアコン,8/111
空気清浄器,8/111
加湿器,8/111
扇風機,8/111
除湿機,8/111
ファンヒーター,8/111
電気ヒーター,8/111
オイルヒーター,8/111
ストーブ,8/111
ホットカーペット,8/111
こたつ,8/111
電気毛布,8/111
その他,8/111
冷蔵庫,8/112
洗濯機,8/112
炊飯器,8/112
電子レンジ/オーブン,8/112
調理機器,8/112
アイロン,8/112
掃除機,8/112
エスプレッソマシン,8/112
コーヒーメーカー,8/112
衣類乾燥機,8/112
その他,8/112
その他,8/113
クラブ,9/114
ウエア(男性用),9/114
ウエア(女性用),9/114
バッグ,9/114
シューズ(男性用),9/114
シューズ(女性用),9/114
アクセサリー,9/114
その他,9/114
ロッド,9/115
リール,9/115
ルアー用品,9/115
ウエア,9/115
釣り糸/ライン,9/115
その他,9/115
自転車本体,9/116
ウエア,9/116
パーツ,9/116
アクセサリー,9/116
バッグ,9/116
工具/メンテナンス,9/116
その他,9/116
ランニング,9/117
ウォーキング,9/117
ヨガ,9/117
トレーニング用品,9/117
その他,9/117
ウェア,9/118
シューズ,9/118
グローブ,9/118
バット,9/118
アクセサリー,9/118
防具,9/118
練習機器,9/118
記念グッズ,9/118
応援グッズ,9/118
その他,9/118
ウェア,9/119
シューズ,9/119
ボール,9/119
アクセサリー,9/119
記念グッズ,9/119
応援グッズ,9/119
その他,9/119
ラケット(硬式用),9/120
ラケット(軟式用),9/120
ウェア,9/120
シューズ,9/120
ボール,9/120
アクセサリー,9/120
記念グッズ,9/120
応援グッズ,9/120
その他,9/120
ボード,9/121
バインディング,9/121
ブーツ(男性用),9/121
ブーツ(女性用),9/121
ブーツ(子ども用),9/121
ウエア/装備(男性用),9/121
ウエア/装備(女性用),9/121
ウエア/装備(子ども用),9/121
アクセサリー,9/121
バッグ,9/121
その他,9/121
板,9/122
ブーツ(男性用),9/122
ブーツ(女性用),9/122
ブーツ(子ども用),9/122
ビンディング,9/122
ウエア(男性用),9/122
ウエア(女性用),9/122
ウエア(子ども用),9/122
ストック,9/122
その他,9/122
ダンス/バレエ,9/123
サーフィン,9/123
バスケットボール,9/123
バドミントン,9/123
バレーボール,9/123
スケートボード,9/123
陸上競技,9/123
ラグビー,9/123
アメリカンフットボール,9/123
ボクシング,9/123
ボウリング,9/123
その他,9/123
テント/タープ,9/124
ライト/ランタン,9/124
寝袋/寝具,9/124
テーブル/チェア,9/124
ストーブ/コンロ,9/124
調理器具,9/124
食器,9/124
登山用品,9/124
その他,9/124
旅行用品,9/125
その他,9/125
ピアス,10/126
イヤリング,10/126
ネックレス,10/126
ブレスレット,10/126
リング,10/126
チャーム,10/126
ヘアゴム,10/126
アンクレット,10/126
その他,10/126
バッグ(女性用),10/127
バッグ(男性用),10/127
財布(女性用),10/127
財布(男性用),10/127
ファッション雑貨,10/127
その他,10/127
アクセサリー(男性用),10/128
時計(女性用),10/128
時計(男性用),10/128
その他,10/128
キッチン用品,10/129
家具,10/129
文房具,10/129
アート/写真,10/129
アロマ/キャンドル,10/129
フラワー/ガーデン,10/129
その他,10/129
クラフト/布製品,10/130
おもちゃ/人形,10/130
その他,10/130
ファッション雑貨,10/131
スタイ/よだれかけ,10/131
外出用品,10/131
ネームタグ,10/131
その他,10/131
各種パーツ,10/132
生地/糸,10/132
型紙/パターン,10/132
その他,10/132
Ingress,10/133
クリエイターズ宇宙兄弟,10/133
男性アイドル,11/135
女性アイドル,11/135
韓流,11/135
国内アーティスト,11/135
海外アーティスト,11/135
音楽フェス,11/135
声優/アニメ,11/135
その他,11/135
サッカー,11/136
野球,11/136
テニス,11/136
格闘技/プロレス,11/136
相撲/武道,11/136
ゴルフ,11/136
バレーボール,11/136
バスケットボール,11/136
モータースポーツ,11/136
ウィンタースポーツ,11/136
その他,11/136
ミュージカル,11/137
演劇,11/137
伝統芸能,11/137
落語,11/137
お笑い,11/137
オペラ,11/137
サーカス,11/137
バレエ,11/137
その他,11/137
声優/アニメ,11/138
キッズ/ファミリー,11/138
トークショー/講演会,11/138
その他,11/138
邦画,11/139
洋画,11/139
その他,11/139
遊園地/テーマパーク,11/140
美術館/博物館,11/140
スキー場,11/140
ゴルフ場,11/140
フィットネスクラブ,11/140
プール,11/140
ボウリング場,11/140
水族館,11/140
動物園,11/140
その他,11/140
ショッピング,11/141
レストラン/食事券,11/141
フード/ドリンク券,11/141
宿泊券,11/141
その他,11/141
国内自動車本体,12/143
外国自動車本体,12/143
タイヤ/ホイールセット,12/144
タイヤ,12/144
ホイール,12/144
その他,12/144
サスペンション,12/145
ブレーキ,12/145
外装、エアロパーツ,12/145
ライト,12/145
内装品、シート,12/145
ステアリング,12/145
マフラー・排気系,12/145
エンジン、過給器、冷却装置,12/145
クラッチ、ミッション、駆動系,12/145
電装品,12/145
補強パーツ,12/145
汎用パーツ,12/145
外国自動車用パーツ,12/145
その他,12/145
車内アクセサリー,12/146
カーナビ,12/146
カーオーディオ,12/146
車外アクセサリー,12/146
メンテナンス用品,12/146
チャイルドシート,12/146
ドライブレコーダー,12/146
レーダー探知機,12/146
カタログ/マニュアル,12/146
セキュリティ,12/146
ETC,12/146
その他,12/146
タイヤ,12/148
マフラー,12/148
エンジン、冷却装置,12/148
カウル、フェンダー、外装,12/148
サスペンション,12/148
ホイール,12/148
シート,12/148
ブレーキ,12/148
タンク,12/148
ライト、ウィンカー,12/148
チェーン、スプロケット、駆動系,12/148
メーター,12/148
電装系,12/148
ミラー,12/148
外国オートバイ用パーツ,12/148
その他,12/148
ヘルメット/シールド,12/149
バイクウエア/装備,12/149
アクセサリー,12/149
メンテナンス,12/149
カタログ/マニュアル,12/149
その他,12/149
ペットフード,13/151
犬用品,13/151
猫用品,13/151
魚用品/水草,13/151
小動物用品,13/151
爬虫類/両生類用品,13/151
かご/おり,13/151
鳥用品,13/151
虫類用品,13/151
その他,13/151
菓子,13/152
米,13/152
野菜,13/152
果物,13/152
調味料,13/152
魚介類(加工食品),13/152
肉類(加工食品),13/152
その他 加工食品,13/152
その他,13/152
コーヒー,13/153
ソフトドリンク,13/153
ミネラルウォーター,13/153
茶,13/153
ウイスキー,13/153
ワイン,13/153
ブランデー,13/153
焼酎,13/153
日本酒,13/153
ビール、発泡酒,13/153
その他,13/153
タオル/バス用品,13/154
日用品/生活雑貨,13/154
洗剤/柔軟剤,13/154
旅行用品,13/154
防災関連グッズ,13/154
その他,13/154
雑貨,13/155
工芸品,13/155
家具,13/155
印刷物,13/155
その他,13/155
筆記具,13/156
ノート/メモ帳,13/156
テープ/マスキングテープ,13/156
カレンダー/スケジュール,13/156
アルバム/スクラップ,13/156
ファイル/バインダー,13/156
はさみ/カッター,13/156
カードホルダー/名刺管理,13/156
のり/ホッチキス,13/156
その他,13/156
オフィス用品一般,13/157
オフィス家具,13/157
店舗用品,13/157
OA機器,13/157
ラッピング/包装,13/157
その他,13/157
